Time,CenterOfMassX,CenterOfMassY,CenterOfMassZ,RotationAngle,WeightPositionX,WeightPositionY,WeightPositionZ
0.9820911,0,0.08179831,0,0,0,0.1592766,0
1.984865,0,0.2257467,0,0,0,0.303225,0
2.987001,0,0.3965607,0,0,0,0.474039,0
3.995581,0,0.5771582,0,0,0,0.6546364,0
4.996202,0,0.7613187,0,0,0,0.838797,0
5.998085,0,0.9467766,0,0,0,1.024255,0
6.998991,0,1.019222,0,0,0,1.0967,0
7.9994,0,1.007513,0,0,0,1.084991,0
9.000068,-0.003876041,1.00589,0,0.003668902,-0.02971946,1.083367,0
10.00092,-0.006281076,1.01414,0,0.04933131,-0.04819715,1.091582,0
11.00202,-0.009264138,1.012042,0,0.1480199,-0.07115167,1.089361,0
12.00342,-0.0100708,1.010862,0,0.3118949,-0.07747576,1.087974,0
13.00389,-0.01008483,1.011671,0,0.5015522,-0.07774468,1.08856,0
14.00528,-0.01009887,1.011614,0,0.6919619,-0.07801387,1.088278,0
15.0057,-0.01011289,1.0114,0,0.8826323,-0.07828263,1.087837,0
16.00587,-0.01012688,1.01143,0,1.073393,-0.07855074,1.08764,0
17.00671,-0.01014083,1.011415,0,1.264185,-0.07881808,1.087397,0
18.00886,-0.01015474,1.01136,0,1.454988,-0.07908463,1.087112,0
19.00915,-0.0101686,1.011328,0,1.645796,-0.07935039,1.08685,0
20.00975,-0.01018243,1.011297,0,1.836603,-0.07961534,1.086589,0
21.0098,-0.01019621,1.011261,0,2.027413,-0.07987947,1.086321,0
22.01837,-0.01020995,1.011225,0,2.21822,-0.0801428,1.086053,0
23.02051,-0.01022391,1.01119,0,2.412844,-0.08041053,1.08578,0
24.02086,-0.01023757,1.011155,0,2.603653,-0.0806722,1.08551,0
25.0239,-0.01025118,1.01112,0,2.79446,-0.08093303,1.08524,0
26.02411,-0.01026474,1.011084,0,2.985269,-0.08119304,1.084969,0
27.02681,-0.01027826,1.011049,0,3.176078,-0.08145223,1.084697,0
28.02802,-0.01029174,1.011013,0,3.366887,-0.08171058,1.084424,0
29.02807,-0.01030518,1.010978,0,3.557694,-0.08196809,1.08415,0
30.02929,-0.01031857,1.010942,0,3.748503,-0.08222476,1.083875,0
31.02933,-0.01033192,1.010906,0,3.939314,-0.08248061,1.083599,0
32.0323,-0.01034522,1.01087,0,4.13012,-0.08273559,1.083322,0
33.03517,-0.01035848,1.010833,0,4.320929,-0.08298974,1.083045,0
34.03525,-0.0103717,1.010797,0,4.511736,-0.08324303,1.082766,0
35.03543,-0.01038487,1.010761,0,4.702544,-0.08349547,1.082487,0
36.03754,-0.01039799,1.010724,0,4.893354,-0.08374704,1.082206,0
37.04038,-0.01041134,1.010687,0,5.087976,-0.08400278,1.081919,0
38.04133,-0.01042437,1.01065,0,5.278784,-0.08425263,1.081637,0
39.0425,-0.01043736,1.010613,0,5.469594,-0.08450162,1.081354,0
40.04582,-0.01045031,1.010576,0,5.6604,-0.08474973,1.081069,0
41.04879,-0.01046321,1.010538,0,5.851209,-0.08499698,1.080784,0
42.05207,-0.01047606,1.010501,0,6.042018,-0.08524335,1.080499,0
43.05222,-0.01048887,1.010464,0,6.232828,-0.08548886,1.080212,0
44.05268,-0.01050164,1.010426,0,6.423635,-0.08573348,1.079924,0
45.05895,-0.01051435,1.010389,0,6.614442,-0.08597722,1.079636,0
